Course Title,Course Author,Course Link
Exploratory Data Analysis in SQL, Christina Maimone, /courses/exploratory-data-analysis-in-sql
Intermediate SQL, Mona Khalil, /courses/intermediate-sql
Writing Efficient Python Code, Logan Thomas, /courses/writing-efficient-python-code
Introduction to Data Science in Python, Hillary Green-Lerman, /courses/introduction-to-data-science-in-python
Introduction to Relational Databases in SQL, Timo Grossenbacher, /courses/introduction-to-relational-databases-in-sql
Introduction to SQL Server, John MacKintosh, /courses/introduction-to-sql-server
Introduction to Data Visualization with Matplotlib, Ariel Rokem, /courses/introduction-to-data-visualization-with-matplotlib
Introduction to Text Analysis in R, Marc Dotson, /courses/introduction-to-text-analysis-in-r
Feature Engineering for Machine Learning in Python, Robert O'Callaghan, /courses/feature-engineering-for-machine-learning-in-python
Introduction to Statistics in Spreadsheets, EDWARD KWARTLER, /courses/introduction-to-statistics-in-spreadsheets
PostgreSQL Summary Stats and Window Functions, Fernando Gonzalez Prada, /courses/postgresql-summary-stats-and-window-functions
Reporting in SQL, Tyler Pernes, /courses/reporting-in-sql
Foundations of Probability in Python, Alexander A. Ramírez M., /courses/foundations-of-probability-in-python
Writing Efficient Code with pandas, Leonidas Souliotis, /courses/writing-efficient-code-with-pandas
Python for Spreadsheet Users, Chris Cardillo, /courses/python-for-spreadsheet-users
Improving Your Data Visualizations in Python, Nicholas Strayer, /courses/improving-your-data-visualizations-in-python
Cluster Analysis in Python, Shaumik Daityari, /courses/cluster-analysis-in-python
